"stimuli","intense.dark","easy.dark","categoria"
"agony","agony",0.0798966937996675,-1.15623787015635,"bad"
"annoying","annoying",0.114321278508919,-0.977514852620519,"bad"
"bad","bad",0.00522811919913226,-0.0743873092061452,"bad"
"beautiful","beautiful",-0.00955976436786487,-0.471422550844616,"good"
"Dark1","Dark1",-0.112678916101822,-0.432154715101842,"dark"
"Dark2","Dark2",-0.106892892182915,-0.437066601884445,"dark"
"Dark3","Dark3",-0.0805320585065408,-0.209729406636334,"dark"
"Dark4","Dark4",-0.097421475911714,-0.296566095786909,"dark"
"Dark5","Dark5",-0.0994374893235465,-0.458040895353359,"dark"
"Dark6","Dark6",-0.106799363945178,-0.242908595869691,"dark"
"Dark7","Dark7",-0.112549454171892,-0.316626094340982,"dark"
"disaster","disaster",0.0472730221745198,0.0255490169425771,"bad"
"disgust","disgust",0.0241860078355595,-0.100149134752949,"bad"
"evil","evil",0.0186493950185113,-0.127840110651182,"bad"
"execellent","execellent",0.0471245140150188,-0.1878860000855,"good"
"failure","failure",0.0566822318702363,-0.0297716614093043,"bad"
"glory","glory",0.0202838576312194,0.256200187548721,"good"
"good","good",0.0374912581029219,-0.370637764461383,"good"
"happiness","happiness",-0.0130671723868774,0.329688921715697,"good"
"hate","hate",-0.0171214212399278,-0.331091279416556,"bad"
"heaven","heaven",0.0431420745122676,-0.161323142253929,"good"
"horrible","horrible",0.0323611363491748,-0.17974051877494,"bad"
"joy","joy",-0.0199598059290222,0.319820184678794,"good"
"laughter","laughter",0.0209407094030764,0.0677400734452912,"good"
"love","love",-0.0496929301267645,0.256429513429887,"good"
"marvelous","marvelous",0.0812347052104782,-0.303853746408804,"good"
"nasty","nasty",0.0101410896383783,0.297086748792759,"bad"
"pain","pain",0.0608565805832908,-0.383080481092444,"bad"
"peace","peace",-0.0104206085325766,0.268412718998356,"good"
"pleasure","pleasure",0.0105271773267403,0.259790166332336,"good"
"terrible","terrible",0.0270435707040073,-0.171040426166397,"bad"
"ugly","ugly",0.0170700969682989,-0.195380754078885,"bad"
"wonderful","wonderful",0.0816798338766996,-0.501683980992774,"good"
